Date,Open,High,Low,INR Gold Price per Troy,IND Inflation,Price
"Dec 27, 2013",62.145,62.175,61.845,75207.9,9.132421,61.94
"Dec 30, 2013",61.998,62.17,61.779,74624.8,9.132421,61.92
"Dec 31, 2013",61.802,62.015,61.718,74504.3,9.132421,61.81
"Jan 1, 2014",61.828,61.995,61.81,74504.3,,61.91
"Jan 2, 2014",61.892,62.415,61.755,76201.1,,62.27
"Jan 3, 2014",62.347,62.565,62.155,76795.2,,62.19
"Jan 6, 2014",62.355,62.465,62.225,77697.4,,62.315
"Jan 07, 2014",62.405,62.475,62.295,76497.8,,62.305
"Jan 08, 2014",62.215,62.282,62.085,75909.6,,62.165
"Jan 09, 2014",62.125,62.245,61.975,76091.7,,62.095
"Jan 10, 2014",62.005,62.005,61.825,77075.1,,61.907
"Jan 13, 2014",61.605,61.64,61.425,76845.6,,61.525
"Jan 14, 2014",61.49,61.49,61.49,77061.1,,61.49
"Jan 15, 2014",61.67,61.72,61.43,76082,,61.58
"Jan 16, 2014",61.655,61.71,61.51,76426.7,,61.54
"Jan 17, 2014",61.485,61.555,61.32,76843.7,,61.545
"Jan 20, 2014",61.675,61.675,61.53,77341.6,,61.625
"Jan 21, 2014",61.545,61.945,61.455,76582.7,,61.885
"Jan 22, 2014",61.905,62.025,61.716,76749.6,,61.82
"Jan 23, 2014",61.815,62.05,61.815,78255.5,,61.933
"Jan 24, 2014",61.945,62.745,61.945,79174.8,,62.695
"Jan 27, 2014",62.885,63.325,62.655,79714,,63.105
"Jan 28, 2014",63.195,63.195,62.515,78397.1,,62.575
"Jan 29, 2014",62.345,62.59,62.115,78949.4,,62.475
"Jan 30, 2014",62.905,62.905,62.545,77873.7,,62.565
"Jan 31, 2014",62.405,62.755,62.355,78381.4,,62.685
"Feb 3, 2014",62.705,62.79,62.555,79117.9,,62.565
"Feb 4, 2014",62.655,62.835,62.487,78287.5,,62.53
"Feb 5, 2014",62.39,62.62,62.36,78450.1,,62.6
"Feb 06, 2014",62.37,62.55,62.36,78559.5,,62.38
"Feb 07, 2014",62.305,62.415,62.25,78526.8,,62.305
"Feb 10, 2014",62.375,62.505,62.09,79633.7,,62.455
"Feb 11, 2014",62.355,62.455,62.19,79830.1,,62.225
"Feb 12, 2014",62.105,62.185,62.045,80077.9,,62.095
"Feb 13, 2014",62.005,62.465,62.005,80825,,62.425
"Feb 14, 2014",62.245,62.37,61.845,81958.8,,61.855
"Feb 17, 2014",61.965,62.085,61.825,82218.7,,61.845
