,Date,Open,High,Low,INR Gold Price per Troy,IND Inflation,Price,USA Inflation
1984,2017-06-21,64.635,64.68,64.49,80152.4,,64.53,1.6334879999999998
1985,2017-06-22,64.545,64.63,64.455,80743.8,,64.605,1.6334879999999998
1986,2017-06-23,64.585,64.618,64.445,81005.2,,64.505,1.6334879999999998
1987,2017-06-26,64.465,64.465,64.435,80331.1,,64.435,1.6334879999999998
1988,2017-06-27,64.485,64.545,64.405,80591.3,,64.475,1.6334879999999998
1989,2017-06-28,64.575,64.66,64.51,80591.2,,64.525,1.6334879999999998
1990,2017-06-29,64.455,64.69,64.442,80315.5,,64.66,1.6334879999999998
1991,2017-06-30,64.73,64.84,64.575,80295.9,,64.62,1.6334879999999998
1992,2017-07-03,64.655,64.91,64.635,79727.6,,64.845,1.7279779999999998
1993,2017-07-04,64.805,64.89699999999999,64.705,79190.4,,64.79,1.7279779999999998
1994,2017-07-05,64.705,64.865,64.675,79063.2,,64.8,1.7279779999999998
1995,2017-07-06,64.755,64.808,64.705,79329.1,,64.725,1.7279779999999998
1996,2017-07-07,64.775,64.775,64.54,78532.5,,64.625,1.7279779999999998
1997,2017-07-10,64.585,64.597,64.475,78208.4,,64.475,1.7279779999999998
1998,2017-07-11,64.465,64.605,64.46,78203.5,,64.565,1.7279779999999998
1999,2017-07-12,64.535,64.6,64.475,78682.7,,64.475,1.7279779999999998
2000,2017-07-13,64.398,64.475,64.398,78542.9,,64.46,1.7279779999999998
2001,2017-07-14,64.488,64.525,64.42399999999999,79306.7,,64.42399999999999,1.7279779999999998
2002,2017-07-17,64.365,64.407,64.345,79439.0,,64.345,1.7279779999999998
2003,2017-07-18,64.37,64.415,64.316,79823.6,,64.316,1.7279779999999998
2004,2017-07-19,64.37,64.37,64.26,79901.3,,64.27,1.7279779999999998
2005,2017-07-20,64.345,64.46,64.325,79816.2,,64.375,1.7279779999999998
2006,2017-07-21,64.385,64.39,64.305,80317.6,,64.385,1.7279779999999998
2007,2017-07-24,64.415,64.465,64.3,80769.5,,64.395,1.7279779999999998
2008,2017-07-25,64.355,64.425,64.345,80763.0,,64.385,1.7279779999999998
2009,2017-07-26,64.472,64.487,64.355,80330.8,,64.355,1.7279779999999998
2010,2017-07-27,64.195,64.218,64.075,80842.8,,64.125,1.7279779999999998
2011,2017-07-28,64.195,64.245,64.11,81167.0,,64.115,1.7279779999999998
2012,2017-07-31,64.14,64.273,64.075,81314.9,,64.2,1.7279779999999998
2013,2017-08-01,64.105,64.145,64.045,81431.3,,64.095,1.938974
2014,2017-08-02,64.125,64.135,63.595,80777.7,,63.635,1.938974
2015,2017-08-03,63.645,63.72,63.575,80744.7,,63.705,1.938974
2016,2017-08-04,63.721000000000004,63.786,63.623999999999995,80027.4,,63.675,1.938974
2017,2017-08-07,63.73,63.865,63.668,80287.1,,63.84,1.938974
2018,2017-08-08,63.755,63.785,63.62,80300.9,,63.692,1.938974
2019,2017-08-09,63.785,63.86,63.715,81143.8,,63.86,1.938974
2020,2017-08-10,63.955,64.115,63.885,82272.2,,64.095,1.938974
2021,2017-08-11,64.23,64.27,64.1,82479.2,,64.14,1.938974
2022,2017-08-14,63.985,64.148,63.935,82217.9,,64.09,1.938974
2023,2017-08-15,64.11,64.12,64.11,81448.4,,64.12,1.938974
2024,2017-08-16,64.275,64.328,64.14,81658.0,,64.17,1.938974
2025,2017-08-17,64.17,64.17,64.17,82453.6,,64.17,1.938974
2026,2017-08-18,64.185,64.185,64.082,83089.9,,64.095,1.938974
2027,2017-08-21,64.075,64.157,64.015,82897.5,,64.11,1.938974
2028,2017-08-22,64.095,64.15,64.05,82357.3,,64.072,1.938974
2029,2017-08-23,64.045,64.14699999999999,64.045,82500.0,,64.045,1.938974
2030,2017-08-24,64.04,64.09,64.005,82544.3,,64.045,1.938974
2031,2017-08-25,64.055,64.065,64.005,82307.4,,64.005,1.938974
2032,2017-08-28,63.89,63.93,63.855,82133.9,,63.905,1.938974
2033,2017-08-29,63.955,64.03699999999999,63.925,84420.0,,64.015,1.938974
2034,2017-08-30,63.975,64.02,63.875,83698.2,,63.99,1.938974
2035,2017-08-31,64.035,64.06,63.895,83855.2,,63.935,1.938974
2036,2017-09-01,63.925,64.055,63.875,84535.1,,64.025,2.232964
2037,2017-09-04,63.945,64.178,63.935,85400.0,,64.04,2.232964
2038,2017-09-05,64.105,64.16199999999999,64.08,85633.8,,64.105,2.232964
2039,2017-09-06,64.105,64.262,64.06,85782.9,,64.06,2.232964
2040,2017-09-07,64.042,64.055,63.98,86041.1,,64.015,2.232964
2041,2017-09-08,63.87,63.96,63.78,85937.9,,63.785,2.232964
2042,2017-09-11,63.905,63.94,63.838,85275.4,,63.935,2.232964
2043,2017-09-12,63.985,64.055,63.935,84942.1,,64.031,2.232964
2044,2017-09-13,63.99,64.05,63.97,84961.5,,64.01,2.232964
2045,2017-09-14,64.168,64.172,64.062,84887.1,,64.123,2.232964
2046,2017-09-15,64.145,64.145,64.042,84819.5,,64.11,2.232964
2047,2017-09-18,64.055,64.168,64.002,84135.1,,64.158,2.232964
2048,2017-09-19,64.19,64.35,64.13,84215.5,,64.3,2.232964
2049,2017-09-20,64.245,64.435,64.245,84283.8,,64.293,2.232964
2050,2017-09-21,64.515,64.855,64.45,83728.1,,64.81,2.232964
2051,2017-09-22,64.805,65.155,64.755,83890.1,,64.795,2.232964
2052,2017-09-25,64.845,65.175,64.725,84232.6,,65.127,2.232964
2053,2017-09-26,65.245,65.49,65.155,85003.8,,65.46,2.232964
2054,2017-09-27,65.365,65.755,65.345,84258.7,,65.715,2.232964
2055,2017-09-28,65.835,65.9,65.47,84094.7,,65.47,2.232964
2056,2017-09-29,65.352,65.465,65.235,83812.1,,65.31,2.232964
2057,2017-10-02,65.31,65.31,65.31,83198.1,,65.31,2.041129
2058,2017-10-03,65.595,65.637,65.465,83244.6,,65.485,2.041129
2059,2017-10-04,65.345,65.385,64.95,82807.1,,65.03,2.041129
2060,2017-10-05,65.095,65.195,64.975,82941.3,,65.145,2.041129
2061,2017-10-06,65.2,65.405,65.2,82442.2,,65.4,2.041129
2062,2017-10-09,65.375,65.43,65.275,83599.9,,65.355,2.041129
2063,2017-10-10,65.355,65.38,65.205,84270.3,,65.25,2.041129
2064,2017-10-11,65.26,65.325,65.13,84004.3,,65.16,2.041129
2065,2017-10-12,65.16,65.165,65.035,83982.6,,65.06,2.041129
2066,2017-10-13,64.955,64.965,64.7,84360.6,,64.7,2.041129
2067,2017-10-16,64.745,64.77,64.69,84385.4,,64.7,2.041129
2068,2017-10-17,64.795,65.04,64.795,83425.2,,65.03,2.041129
2069,2017-10-18,64.995,65.17,64.965,83358.6,,65.055,2.041129
2070,2017-10-19,65.033,65.08,64.995,83762.3,,64.995,2.041129
2071,2017-10-20,65.0,65.045,64.995,83423.7,,65.04,2.041129
2072,2017-10-23,65.075,65.115,64.98,82873.3,,65.023,2.041129
2073,2017-10-24,64.98,65.125,64.9,83059.4,,65.09,2.041129
2074,2017-10-25,65.145,65.2,64.885,82816.0,,64.925,2.041129
2075,2017-10-26,64.785,64.92,64.73,82570.5,,64.84,2.041129
2076,2017-10-27,65.025,65.11,64.965,82355.7,,65.04,2.041129
2077,2017-10-30,64.89,64.96,64.8,82486.0,,64.86,2.041129
2078,2017-10-31,64.84,64.85,64.73,82269.2,,64.75,2.041129
2079,2017-11-01,64.705,64.705,64.51,82486.5,,64.565,2.202583
2080,2017-11-02,64.535,64.675,64.475,82711.5,,64.575,2.202583
2081,2017-11-03,64.58,64.65,64.52,81843.7,,64.56,2.202583
2082,2017-11-06,64.665,64.742,64.625,82228.8,,64.625,2.202583
2083,2017-11-07,64.66,65.07,64.615,82931.5,,65.06,2.202583
2084,2017-11-08,65.135,65.165,64.92,83418.3,,64.92,2.202583
2085,2017-11-09,64.945,65.002,64.852,83467.0,,64.975,2.202583
2086,2017-11-10,65.09,65.208,65.005,83659.3,,65.19,2.202583
2087,2017-11-13,65.37,65.535,65.267,83603.5,,65.44,2.202583
2088,2017-11-14,65.32,65.55,65.292,83365.2,,65.41,2.202583
2089,2017-11-15,65.44,65.44,65.155,83647.5,,65.27,2.202583
2090,2017-11-16,65.285,65.39,65.125,83544.0,,65.295,2.202583
2091,2017-11-17,64.64699999999999,65.072,64.625,83563.0,,65.015,2.202583
2092,2017-11-20,64.975,65.125,64.975,83725.2,,65.1,2.202583
2093,2017-11-21,65.09,65.125,64.88,83303.8,,64.88,2.202583
2094,2017-11-22,64.78,64.965,64.72,83572.9,,64.88,2.202583
2095,2017-11-23,64.815,64.89699999999999,64.57,83419.5,,64.57,2.202583
2096,2017-11-24,64.59,64.752,64.555,83484.0,,64.68,2.202583
