,Date,Open,INR Gold Price per Troy,IND Inflation,USA Inflation,Foreign direct investment net inflows (% of GDP) - IND,Foreign direct investment net inflows (% of GDP),Today Price
303,2011-03-02,44.955,64518.5,8.823529,2.681603,2.002065552,1.698016861,44.825
304,2011-03-03,44.965,64024.4,8.823529,2.681603,2.002065552,1.698016861,44.875
305,2011-03-04,44.88,64193.6,8.823529,2.681603,2.002065552,1.698016861,44.91
306,2011-03-07,44.875,64759.4,8.823529,2.681603,2.002065552,1.698016861,44.995
307,2011-03-08,45.05,64295.3,8.823529,2.681603,2.002065552,1.698016861,45.035
308,2011-03-09,45.1,64402.1,8.823529,2.681603,2.002065552,1.698016861,44.905
309,2011-03-10,45.015,63843.6,8.823529,2.681603,2.002065552,1.698016861,45.125
310,2011-03-11,45.085,63863.3,8.823529,2.681603,2.002065552,1.698016861,45.075
311,2011-03-14,45.16,64093.7,8.823529,2.681603,2.002065552,1.698016861,45.07
312,2011-03-15,45.035,63365.6,8.823529,2.681603,2.002065552,1.698016861,45.175
313,2011-03-16,45.145,63251.2,8.823529,2.681603,2.002065552,1.698016861,45.115
314,2011-03-17,45.09,63421.4,8.823529,2.681603,2.002065552,1.698016861,45.16
315,2011-03-18,45.115,64070.4,8.823529,2.681603,2.002065552,1.698016861,45.015
316,2011-03-21,44.945,64454.3,8.823529,2.681603,2.002065552,1.698016861,44.995
317,2011-03-22,44.965,64120.1,8.823529,2.681603,2.002065552,1.698016861,44.875
318,2011-03-23,44.86,64561.6,8.823529,2.681603,2.002065552,1.698016861,44.79
319,2011-03-24,44.775,64753.3,8.823529,2.681603,2.002065552,1.698016861,44.675
320,2011-03-25,44.635,64146.1,8.823529,2.681603,2.002065552,1.698016861,44.705
321,2011-03-28,44.66,63531.2,8.823529,2.681603,2.002065552,1.698016861,44.8
322,2011-03-29,44.75,63440.2,8.823529,2.681603,2.002065552,1.698016861,44.69
323,2011-03-30,44.7,63791.1,8.823529,2.681603,2.002065552,1.698016861,44.63
324,2011-03-31,44.635,64172.2,8.823529,2.681603,2.002065552,1.698016861,44.535
325,2011-04-01,44.505,63235.7,9.411765,3.163631,2.002065552,1.698016861,44.395
326,2011-04-04,44.415,64016.1,9.411765,3.163631,2.002065552,1.698016861,44.395
327,2011-04-05,44.365,63683.2,9.411765,3.163631,2.002065552,1.698016861,44.325
328,2011-04-06,44.295,64547.1,9.411765,3.163631,2.002065552,1.698016861,44.075
329,2011-04-07,44.05,64517.2,9.411765,3.163631,2.002065552,1.698016861,44.205
330,2011-04-08,44.17,64760.9,9.411765,3.163631,2.002065552,1.698016861,44.08
331,2011-04-11,44.04,65164.5,9.411765,3.163631,2.002065552,1.698016861,44.38
332,2011-04-12,44.275,64387.7,9.411765,3.163631,2.002065552,1.698016861,44.205
333,2011-04-13,44.575,64866,9.411765,3.163631,2.002065552,1.698016861,44.525
334,2011-04-14,44.425,65233.2,9.411765,3.163631,2.002065552,1.698016861,44.505
335,2011-04-15,44.425,65464.3,9.411765,3.163631,2.002065552,1.698016861,44.275
