,Date,Open,High,Low,INR Gold Price per Troy,IND Inflation,USA Inflation,"Foreign direct investment, net inflows (% of GDP) - IND","Foreign direct investment, net inflows (% of GDP)",Price
717,2012-10-02,52.4,52.445,52.32,93435.7,9.59596,2.162344,1.312934337,1.549619613,52.43
718,2012-10-03,52.44,52.58,52.125,92712.4,9.59596,2.162344,1.312934337,1.549619613,52.24
719,2012-10-04,52.15,52.225,51.665,92929.1,9.59596,2.162344,1.312934337,1.549619613,51.745
720,2012-10-05,51.745,52.045,51.365,92562.8,9.59596,2.162344,1.312934337,1.549619613,51.915
721,2012-10-08,51.885,52.655,51.745,93055.5,9.59596,2.162344,1.312934337,1.549619613,52.545
722,2012-10-09,52.655,52.85,52.235,93711.5,9.59596,2.162344,1.312934337,1.549619613,52.695
723,2012-10-10,52.685,53.195,52.585,93584,9.59596,2.162344,1.312934337,1.549619613,53.025
724,2012-10-11,53.055,53.18,52.595,93173.2,9.59596,2.162344,1.312934337,1.549619613,52.665
725,2012-10-12,52.675,52.925,52.505,93434.6,9.59596,2.162344,1.312934337,1.549619613,52.81
726,2012-10-15,52.92,53.165,52.915,92055.7,9.59596,2.162344,1.312934337,1.549619613,52.985
727,2012-10-16,53.03,53.03,52.79,92503.4,9.59596,2.162344,1.312934337,1.549619613,52.825
728,2012-10-17,52.845,53.005,52.685,92495.9,9.59596,2.162344,1.312934337,1.549619613,52.865
729,2012-10-18,52.845,53.595,52.745,92596.9,9.59596,2.162344,1.312934337,1.549619613,53.595
730,2012-10-19,53.415,53.995,53.305,93511.4,9.59596,2.162344,1.312934337,1.549619613,53.845
731,2012-10-22,53.83,53.9,53.445,92510.6,9.59596,2.162344,1.312934337,1.549619613,53.56
732,2012-10-23,53.475,53.845,53.34,92060.3,9.59596,2.162344,1.312934337,1.549619613,53.725
733,2012-10-24,53.73,53.74,53.61,91818.2,9.59596,2.162344,1.312934337,1.549619613,53.74
